document_sha256,occurrences,instruction_generation_rows,instruction_generation_ifeval_rows,languages,document_chars,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,classification_tied,script_group,domains
0739ca315b3504d90f2b2aefa8d244a2e496e7e008b0cd83fd4746fab4dc6286,2,2,0,Italian,5601,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
073eea7cca7a55c1929ee42ad3ed0aacd5913e36a2272202fdf99aa685a8f568,2,2,0,Spanish,5082,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0746816589ee4bf2fbc807f791e1591de86fe2efbcbda79de3043958ef0ef002,2,2,0,Spanish,4377,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
076d35201727e0e03264067a8070307325fb002dc2b6207ab40fc5fd3fb708f7,2,2,0,French,5554,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0789d2b30bfd3b2b9d1857a9ab9f2bed2a53c54342a6a55579804e8532d44542,2,2,0,Italian,6742,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,False,latin_or_other,
0792ec944d5f45ce4fc74c19757bf2a8bac5560c91af29ec11bfba92d8105e72,2,2,0,Spanish,14809,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
079c89ff6c6e08a9485e244870abae2c1c6510f03780e90561e5857c54627cae,2,2,0,Portuguese,8714,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0810d31fae0066e1b13cc656a2cc97b2234d93cfaf94cbb35692e72b372a8c63,2,2,0,English,2866,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
082b4dd155668ddfd72e89541103506cc3f3b54233639f8601d983603141e9e0,2,2,0,Italian,4950,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
082dfdfe57e7bf4d3f8539efd46759cb2e0318522a83f72718b3b7a73b05f8be,2,2,0,Italian,5789,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
083a4564e88fb20f8630655407a455e4a31aeba2500398a742f3ed10da0113ac,2,2,0,French,3941,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
085dfbf7c50c69bc36eb63491c2b6b742c72f8595c8b21c046fcfcd2d45169e1,2,2,0,Italian,10209,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
086809c642145ecfebc02487ba86ce751b9b68ebfb64e2d87ebe838b33d20ddf,2,2,0,English,5304,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,americanforeignrelations.com;realhistoryonline.com
0868e69f2c0faeed265c6e25e56ca6724e3cf0f74547898f3883010a0f66dccf,2,2,0,French,7518,scholarly/research,no_explicit_marker,False,False,False,False,False,True,latin_or_other,
087113fc8da70a8bd8372b8491064f6ea6e5fa765c54a8516b3b15245780e61c,2,2,0,English,1644,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
087ee203e2252c96bc5748115eff8e777db5a6140016027bf01a58f142e78f93,2,2,0,Portuguese,4127,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
088da3bd8bc79df08f42806f7c19397314102aa91f2cd87388ba7ef3ba984ee9,2,2,0,English,4285,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,sxc.hu
088efb3f32667c660e336bd68de4b03887a35e4c32dff2f28b9248bfed591e8f,2,2,0,English,2530,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
08d3566def59910e0e8d44428656beb12284408ad57f45f28028dbc09e9ffb49,2,2,0,French,4618,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
08db80eb5e4472c6afccbbb19c920be6ddacee6be6236db6a568e107c73a3a1f,2,2,0,Portuguese,2289,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
08f74daac57041264b4ad1dff1cceac02405abcdb0c97725a73f4f21b7786aa7,2,2,0,Portuguese,4600,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
08fc427227b2cf7516f24b321a98de13792eb67c07d53707683dbb8682d0db3b,2,2,0,English,20704,scholarly/research,explicit_open_licence_marker,False,True,False,False,True,False,latin_or_other,
094189309d4333cc79dc5814bf4ba95dea044f57e9b4997fab8df8c53d23a34a,2,2,0,Italian,3383,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
09436b60116171708b8217514eae7b16a1bbff2e436ea59348ad5767455255f0,2,2,0,Spanish,2726,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,etimologia.com
0958b204199da4ed513cfc8942207c34fefbbe770de71a01ee4908e514bab217,2,2,0,French,7997,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
